17	3	11	7	"Escoda Modernista Synthetic Mongoose Brush"	"Escoda's Modernista Synthetic Mongoose is of the highest quality for a synthetic brush. Word on the street is this synthetic feels just like the real thing. Mongoose hairs are known for an excellent retention of shape and a balanced stiffness (a little less than a bristle, a little more than a soft hair) for excellent control. The handle of this brush is lacquered and the ferrule is triple crimped for increased durability."	"escoda-synthetic-mongoose"
18	1	1	9	"NanoLab Gravity Black Oil Paint"	"NanoLab Gravity Black oil paint is the darkest black matte paint available anywhere. Formulated with NanoLab’s nanotechnology-based fillers and pigments as well as a traditional linseed base, it is compatible with other oil paints. This matte black oil paint is exceptional due to its lack of hue and its low angle performance."	"nanolab-gravity-black"
19	1	3	10	"Sennelier Luxury Wooden Box Set - L'Aquarelle French Artists' Watercolors - Set of 98 (10ml tubes)"	"THIS ITEM IS FINAL SALE - SORRY, NO RETURNS. Made in France. A complete set of 98 l’Aquarelle French Artist’s Watercolor 10ml tubes housed in a wooden box. Includes one Raphael Kolinsky Sable Fine Point Round (Series 8404/Size 04) Shipping is included in the price for this item."	"sennelier-luxury-watercolor-set"
20	1	3	11	"Pentel Water Colors Set"	"Pentel Water Colors 5ml watercolor tubes are packed with vibrant colors that blend well to create that perfect shade and hue. "	"pentel-water-colors-set"
21	1	3	12	"Talens Angora Pan Watercolor Set"	"Talens Angora Watercolors are brilliant, non-toxic colors that come in a convenient plastic case. These watercolors are long-lasting and made from high quality materials in Germany. Each removable pan is 7/8"" in diameter."	"talens-angora-watercolors-set"
22	1	3	13	"Winsor & Newton Cotman Watercolor Set - Compact Set"	"This 4"" x 5"" x 1"" compact set is ideal for the beginning artist on the go. Economically-priced, the set contains 14 half pans of student-grade watercolors and a field brush. A detachable water cup and a removable mixing tray are also included. Colors included: Lemon Yellow, Cadmium Yellow, 
Cadmium Red Pale, Cadmium Red Hue, Alizarin Crimson Hue, Purple Lake, Cerulean Blue Hue, 
Ultramarine, Sap Green, Viridian Hue, Yellow Ochre,   Burnt Sienna, Burnt Umber, Chinese White "	"winsor-newton-cotman-watercolor-compact-set"
23	1	3	13	"Winsor & Newton Cotman Watercolor Set - Field Box"	"The Field Box set features 12 half pans, and a Cotman Pocket Brush. It has two slide-out mixing surfaces, a removable water bottle (60ml) and clip-on water cup, plus a unique 4-pan cartridge system that clips easily into place, making pan replacement and color change a snap. Colors included: 
Cadmium Yellow Pale Hue, Cadmium Yellow Hue, 
Cadmium Red Pale Hue, Alizarin Crimson Hue, 
Ultramarine, Cobalt Blue Hue, Sap Green, Viridian Hue, Yellow Ochre, Burnt Sienna, Burnt Umber, Chinese White"	"winsor-newton-cotman-watercolor-set-field-box"
24	1	3	14	"Holbein Watercolor Set"	"This extra-fine, European style transparent watercolor, known for its purity, permanence and brilliance, preserves the brush handling qualities inherent in Japanese watercolor techniques. Because it contains no ox gall, animal by products or other dispersing agents, Holbein watercolor moves slowly, allowing for greater color density and brush control. It has a creamy texture that remains smooth when dry and will not crack, crumble, chip or mold in the palette.  Set of 12 colors in 5ml tubes includes: Burnt Sienna, Burnt Umber, Chinese White, Crimson Lake, Cobalt Blue Hue, Ivory Black, Permanent Green #1, Permanent Yellow Light, Prussian Blue, Vermillion Hue, Viridian Hue, Yellow Ochre.   Set of 18 also includes colors in 5ml tubes includes: Compose Blue, Jaune Brillant #2, 
Mineral Violet, Permanent Green #2, Permanent Yellow Deep, Rose Madder."	"holbein-watercolor-set"
25	1	3	15	"Sakura KOI Watercolors Tube Set"	"Koi watercolors are smooth, creamy and instantly responsive to water. The selected pigments used in these paints give professional results and outstanding vibrant colors.  Set of 12 includes: Set includes: Lemon Yellow, Deep Yellow, Yellow Ochre, 
Yellow Green, Burnt Sienna, Vermilion Hue, Cobalt Blue Hue, Prussian Blue, Ivory Black, Chinese White, 
Viridian Hue, Carmine"	"sakura-koi-watercolors-tube-set"
26	1	4	14	"Holbein Artists' Gouache"	"Holbein Artists' Gouache is more finely ground than other competing products. No whitening agents are added which allows for increased opacity. These paints will always give consistent reliable results without ""milking out"", darkening or muddiness. "	"holbein-artist-gouache"
27	1	5	16	"Montana Gold Tech Series, Universal Plastic Primer, 400mL"	"The Montana GOLD TECH Series provides technical sprays like varnish gloss and matt, acetone (cap cleaner), universal (plastic primer) as well as a styrofoam primer. The GOLD TECH Series is the perfect completion for the GOLD range. Use the primers for pre-treament of different surfaces, especially the styrofoam primer for polystyrene objects and grounds. 
Note: Due to their combustibility, spray paints can only be shipped via Ground Service within the 48 contiguous states."	"montana-gold-tech-series-universal-plastic-primer"
28	1	5	16	"Montana Gold Tech Series, Varnish Gloss, 400mL"	"The Montana GOLD varnish does not only protect and seal your valuable art work from dust and impurities, it also offers valuable protection against harmful UV rays while increasing the luminance and saturation of your artworks color(s). Greater resistance toward harmful effects of the elements and bleaching is also achieved while making the surface of your artwork easier to clean or maintain (if required) with this crystal clear varnish. Now with improved UV protection!  Note: Due to their combustibility, spray paints can only be shipped via Ground Service within the 48 contiguous states."	"montana-gold-tech-series-varnish-gloss"
29	1	5	16	"Montana Spray Paint Caps"	"These caps are all adaptable to the Montana line of cans. Being artists themselves, the makers of Montana products know that the Graffiti/Urban/Aerosol Artist requires variety to make their works of art. This nice selection of caps provides endless opportunity for artistic expression. "	"montana-spray-paint-caps"
30	2	7	6	"Art Alternatives Studio Stretched Canvas"	"Art Alternatives stretched canvas is 8oz cotton duck stretched around kiln dried stretchers and back-stapled. Without side staples, the artist can decorate the edges and hang the object suitably without a frame. The canvas is triple primed with acrylic gesso.

These canvases come in packs of 10.

Studio canvases are 7/8"" deep and of standard quality."	"art-alternatives-studio-stretched-canvas"
31	2	7	6	"Art Alternatives Gallery Stretched Canvas"	"Art Alternatives stretched canvas is 8oz cotton duck stretched around kiln dried stretchers and back-stapled. Without side staples, the artist can decorate the edges and hang the object suitably without a frame. The canvas is triple primed with acrylic gesso. Gallery Canvases are 1 1/2"" deep and of standard quality. These canvases come in either 4, 6, or 10 packs depending on the size. Please select from the dropdown below."	"art-alternatives-gallery-stretched-canvas"
32	2	9	17	"Ampersand Aquabord 1/8"" Profile Panel"	"Ampersand Aquaboard absorbs watercolor like a fine paper. Its unique surface provides complete control and luminous color. Endlessly glaze and lift to underlying colors, and lift back to white without damaging the surface. Watercolors can be seals and displayed without glass. Great for use with gouache, acrylics, and inks too!   Select sizes can be bought in packs of 3. Click the dropdown below for details."	"ampersand-aquabord"
33	4	15	18	"Stillman & Birn Delta Series Wirebound Premium Sketchbook, 7"" x 10"""	"The Delta Series Sketchbook from Stillman & Birn features extra heavyweight, 270 gsm white paper wirebound with a high-density board, resistant to warping. The white, mixed media cold press paper has a substantial tooth and works well with all dry media, wet media, light washes, and inks. Portrait, 7"" x 10"".  25 sheets, 52 pages."	"stillman-&-birn-delta-series-wirebound-premium-sketchbook"
